Name,DA,Website,Tags,Price,Submission
AI Top Picks,3,https://www.aitoppicks.com/,AI,$49.00 ,https://buy.stripe.com/5kA6qLgoidQD7WEcMO
FindAITools,5,https://findaitools.co/,AI,Free,https://findaitools.co/advertise/#modal
Igniter,8,https://www.igniter.ai/tools,AI,Free,https://haroonchoudery499974.typeform.com/to/FpdvtLml
GPTsHunter,60,https://www.gptshunter.com/,AI,Free,https://www.gptshunter.com/submit-gpt
InsanelyCoolTools,13,https://www.insanelycooltools.com/,AI,Free,https://insanelycooltools.com/submit-tool
AILib,22,https://ailib.ru/,AI,Free,https://ailib.ru/en/add-ai/
CanopyDirectory,14,https://www.canopydirectory.com/directory,AI,Free,https://www.canopydirectory.com/directory
AIToolNet,46,https://www.aitoolnet.com/,AI,Free,https://www.aitoolnet.com/submit
AI to Grow,15,https://aitogrow.com/,AI,Free,https://aitogrow.com/#send-your-tool
WhatTheAI,28,https://whattheai.tech/,Marketing,Free,https://whattheai.tech/submit-a-tool/
Toolspedia,23,https://www.toolspedia.io/,AI,$59.00 ,https://www.toolspedia.io/submit-tool/
AI Tools Guide,5,https://aitoolsguide.com/,AI,Free,https://aitoolsguide.com/contact/
FreeAIToolsDirectory,6,https://free-ai-tools-directory.com/,Marketing,Free,https://free-ai-tools-directory.com/submit-request/
TinyStartups,36,https://www.tinystartups.com/,For Startups,Free,https://tally.so/r/wMzP8X
AI Toolkit,26,https://www.aitoolkit.org/,AI,Free,https://www.aitoolkit.org/submit
NextGenTools,6,https://nextgentools.me/,AI,Free,https://nextgentools.me/submit-your-tool
The Warehouse,11,https://www.thewarehouse.ai/,AI,Free,https://inside.thewarehouse.ai/submissions
Digital Samaritan,26,https://www.digitalsamaritan.co/all-ai-tools,AI,$49.00 ,https://www.digitalsamaritan.co/add-your-product
SEOs,2,https://seos.ai/,AI,Free,https://seos.ai/add-tool/
GPT Academy,10,https://www.gptacademy.co/,Marketing,$7.00 ,https://www.gptacademy.co/
FreeAITools,0,https://www.freeaitools.fyi/,All Startups,Free,https://www.freeaitools.fyi/submit-tool
SiteLike,70,https://launchin.co/www.sitelike.org,Marketing,Free,https://www.sitelike.org/add-site
MarsX,42,https://www.marsx.dev/ai-startups,AI,Free,https://www.marsx.dev/ai-startups
AI Depot,14,https://aidepot.co/,AI,Free,https://aidepot.co/add
ChatGPTDemo,31,https://chatgptdemo.com/,AI,Free,https://chatgptdemo.com/submit-new-ai-tool/
BensBites,40,https://news.bensbites.com/,AI,"$1,200.00 ",https://grizzlyads.com/store/1695719389368x383317792461422600?nav=selection&product=1696259866973x298536478714101760
Switbai,42,https://switbai.com/,AI,$55.00 ,https://switbai.com/submit-ai-tool
Future Agi Tools,4,https://www.futureagitools.com/,AI,Free,https://www.futureagitools.com/submit-a-site
SaaSBaba,6,https://saasbaba.com/,SaaS,Free,https://docs.google.com/forms/d/e/1FAIpQLScdSN4wbdFM7V8q-Ao5XpcLrVnqImhoagVG8PMgmpoRWCKU9Q/viewform
GPT Nocode,1,https://gptnocode.com/,NoCode,Free,https://gptnocode.com/
LookAITools,2,https://lookaitools.com/,Marketing,Free,https://lookaitools.com/submit-listing/details/
AI of the Day,9,https://aioftheday.com/,AI,Free,https://aioftheday.com/submit-a-tool
Chat AI Apps,5,https://www.chataiapps.com/,AI,Free,https://launchin.co/unavailable
DailyTech,5,https://www.dailytech.ai/,,Free,https://launchin.co/unavailable
Faind,3,https://faind.ai/,AI,Free,https://faind.ai/submit-a-tool/
DevPages,27,https://www.devpages.io/,Marketing,Free,https://www.devpages.io/submit-a-tool
LiveApps,2,https://liveapps.ai/,AI,Free,https://liveapps.ai/become-a-partner
BasedTools,36,https://www.basedtools.ai/,AI,Free,https://www.basedtools.ai/submit
